"Salary","AVG","OBP","Runs","Hits","Doubles","Triples","HR","RBI","Walks","SO","SB","Errs","free agency eligibility","free agent in 1991/2","arbitration eligibility","arbitration in 1991/2","Name"
3100,0.284,0.373,72,131,20,1,20,89,67,48,4,8,1,0,0,0,"Kent Hrbek"
2992,0.319,0.352,92,195,29,6,15,89,31,78,11,6,1,0,0,0,"Kirby Puckett"
2800,0.277,0.385,84,148,34,1,29,93,95,117,5,0,1,0,0,0,"Chili Davis"
2500,0.311,0.336,54,137,28,1,10,69,14,22,1,8,1,1,0,0,"Brian Harper"
1933,0.265,0.310,52,108,23,3,8,42,26,72,11,9,0,0,1,0,"Greg Gagne"
1200,0.279,0.322,36,102,20,0,6,36,21,55,1,11,1,1,0,0,"Mike Pagliarulo"
1075,0.310,0.363,79,137,27,8,18,74,34,79,13,7,0,0,1,0,"Shane Mack"
950,0.286,0.361,34,73,14,1,2,19,30,21,2,3,0,0,1,0,"Gene Larkin"
450,0.303,0.401,21,50,10,1,6,23,24,25,0,2,0,0,0,0,"Randy Bush"
360,0.281,0.351,78,159,24,6,1,50,59,40,25,18,0,0,0,0,"Chuck Knoblauch"
175,0.286,0.378,35,57,7,2,5,20,30,35,5,7,0,0,0,0,"Scott Leius"
155,0.283,0.327,15,39,7,1,7,26,9,31,3,1,0,0,0,0,"Pedro Munoz"
5000,0.307,0.357,110,203,44,5,25,116,56,91,16,7,0,0,1,1,"Ruben Sierra"
3250,0.268,0.400,105,126,17,1,18,57,96,73,58,8,1,0,0,0,"Rickey Henderson"
2825,0.201,0.330,62,97,22,0,22,75,93,116,2,4,1,0,0,0,"Mark McGwire"
2600,0.276,0.346,86,158,33,0,25,85,58,113,6,1,1,0,0,0,"Dave Henderson"
2050,0.274,0.312,50,125,31,1,6,67,22,70,2,15,0,0,1,0,"Terry Steinbach"
1583,0.295,0.383,76,144,25,1,20,90,72,67,0,1,1,0,0,0,"Harold Baines"
1150,0.063,0.063,0,1,0,0,0,1,0,2,0,0,1,1,0,0,"Carney Lansford"
1100,0.238,0.290,38,70,14,4,0,28,18,43,20,3,1,0,0,0,"Willie Wilson"
760,0.226,0.286,15,30,8,1,0,13,12,14,0,5,0,0,1,0,"Walt Weiss"
525,0.261,0.321,16,53,4,0,1,17,16,28,0,6,1,0,0,0,"Jamie Quirk"
500,0.249,0.385,32,51,10,1,1,20,47,25,2,3,1,1,0,0,"Randy Ready"
205,0.249,0.336,33,46,8,0,3,21,23,42,12,3,0,0,0,0,"Lance Blankenship"
185,0.238,0.289,21,56,5,1,0,21,14,37,3,11,0,0,0,0,"Mike Bordick"
115,0.235,0.268,9,16,5,0,2,4,3,11,3,1,0,0,0,0,"Scott Brosius"
3750,0.256,0.338,52,95,13,1,27,69,43,57,2,6,1,0,0,0,"Kevin Mitchell"
2188,0.248,0.300,58,139,29,3,17,88,44,61,0,5,1,0,0,0,"Pete O'Brien"
2167,0.254,0.332,95,160,34,6,3,57,72,63,28,18,0,0,1,0,"Harold Reynolds"
2167,0.194,0.286,38,63,8,1,8,32,34,49,0,6,1,0,0,0,"Dave Valle"
2050,0.327,0.399,76,179,42,1,22,100,71,82,18,4,0,0,1,0,"Ken Griffey"
1445,0.244,0.337,64,99,14,4,27,77,53,117,0,5,0,0,1,0,"Jay Buhner"
875,0.305,0.347,35,54,6,2,6,23,10,27,16,2,0,0,1,0,"Henry Cotto"
560,0.307,0.405,98,167,35,1,14,52,84,72,0,15,0,0,0,0,"Edgar Martinez"
360,0.230,0.302,42,98,16,4,1,41,45,37,7,13,0,0,0,0,"Omar Vizquel"
162,0.247,0.286,16,44,13,0,2,22,9,38,0,7,0,0,0,0,"Dave Cochrane"
133,0.205,0.272,11,23,2,0,4,9,11,24,0,2,0,0,0,0,"Tino Martinez"
109,0.216,0.285,38,87,12,0,19,51,35,117,0,2,1,0,0,0,"Lance Parrish"
4300,0.266,0.359,115,152,32,1,44,122,78,152,26,9,1,0,0,0,"Jose Canseco"
3850,0.322,0.389,115,203,49,3,26,88,68,72,4,12,0,0,1,1,"Rafael Palmeiro"
2387,0.341,0.408,108,201,27,3,15,78,65,78,36,14,1,0,0,0,"Julio Franco"
950,0.278,0.377,76,113,17,2,17,49,58,70,1,0,1,1,0,0,"Brian Downing"
675,0.271,0.339,21,54,8,1,2,20,21,25,2,11,1,1,0,0,"Geno Petralli"
600,0.252,0.283,44,136,18,4,9,44,25,84,11,21,1,1,0,0,"Dickie Thon"
287,0.264,0.321,78,144,34,1,27,102,42,118,4,6,0,0,0,0,"Juan Gonzalez"
230,0.269,0.332,46,106,22,0,20,69,33,93,0,6,0,0,0,0,"Kevin Reimer"
215,0.194,0.270,8,28,3,2,1,11,16,23,1,1,0,0,0,0,"Jack Daugherty"
183,0.213,0.312,36,57,8,3,2,26,39,32,8,15,0,0,0,0,"Jeff Huson"
170,0.111,0.138,3,3,0,0,0,1,1,7,0,0,0,0,0,0,"John Russell"
160,0.264,0.318,24,48,7,0,1,22,15,18,0,7,0,0,0,0,"Mario Diaz"
142,0.187,0.281,38,50,9,2,15,37,32,98,0,9,0,0,0,0,"Dean Palmer"
140,0.264,0.270,24,74,16,0,3,27,5,42,0,10,0,0,0,0,"Ivan Rodriguez"
109,0.258,0.395,6,8,1,0,1,6,7,11,0,0,0,0,0,0,"Monty Fariss"
